# openbim.ifc direct-structural-catalog v1
schema	IFC2X3_TC1	653	327
entity	Ifc2DCompositeCurve	IfcCompositeCurve	-
entity	IfcActionRequest	IfcControl	RequestID
entity	IfcActor	IfcObject	TheActor
entity	IfcActorRole	-	Role,UserDefinedRole,Description
entity	IfcActuatorType	IfcDistributionControlElementType	PredefinedType
entity	IfcAddress	-	Purpose,Description,UserDefinedPurpose
entity	IfcAirTerminalBoxType	IfcFlowControllerType	PredefinedType
entity	IfcAirTerminalType	IfcFlowTerminalType	PredefinedType
entity	IfcAirToAirHeatRecoveryType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcAlarmType	IfcDistributionControlElementType	PredefinedType
entity	IfcAngularDimension	IfcDimensionCurveDirectedCallout	-
entity	IfcAnnotation	IfcProduct	-
entity	IfcAnnotationCurveOccurrence	IfcAnnotationOccurrence	-
entity	IfcAnnotationFillArea	IfcGeometricRepresentationItem	OuterBoundary,InnerBoundaries
entity	IfcAnnotationFillAreaOccurrence	IfcAnnotationOccurrence	FillStyleTarget,GlobalOrLocal
entity	IfcAnnotationOccurrence	IfcStyledItem	-
entity	IfcAnnotationSurface	IfcGeometricRepresentationItem	Item,TextureCoordinates
entity	IfcAnnotationSurfaceOccurrence	IfcAnnotationOccurrence	-
entity	IfcAnnotationSymbolOccurrence	IfcAnnotationOccurrence	-
entity	IfcAnnotationTextOccurrence	IfcAnnotationOccurrence	-
entity	IfcApplication	-	ApplicationDeveloper,Version,ApplicationFullName,ApplicationIdentifier
entity	IfcAppliedValue	-	Name,Description,AppliedValue,UnitBasis,ApplicableDate,FixedUntilDate
entity	IfcAppliedValueRelationship	-	ComponentOfTotal,Components,ArithmeticOperator,Name,Description
entity	IfcApproval	-	Description,ApprovalDateTime,ApprovalStatus,ApprovalLevel,ApprovalQualifier,Name,Identifier
entity	IfcApprovalActorRelationship	-	Actor,Approval,Role
entity	IfcApprovalPropertyRelationship	-	ApprovedProperties,Approval
entity	IfcApprovalRelationship	-	RelatedApproval,RelatingApproval,Description,Name
entity	IfcArbitraryClosedProfileDef	IfcProfileDef	OuterCurve
entity	IfcArbitraryOpenProfileDef	IfcProfileDef	Curve
entity	IfcArbitraryProfileDefWithVoids	IfcArbitraryClosedProfileDef	InnerCurves
