# openbim.ifc direct-structural-catalog v1
schema	IFC4_ADD2_TC1	776	397
entity	IfcActionRequest	IfcControl	PredefinedType,Status,LongDescription
entity	IfcActor	IfcObject	TheActor
entity	IfcActorRole	-	Role,UserDefinedRole,Description
entity	IfcActuator	IfcDistributionControlElement	PredefinedType
entity	IfcActuatorType	IfcDistributionControlElementType	PredefinedType
entity	IfcAddress	-	Purpose,Description,UserDefinedPurpose
entity	IfcAdvancedBrep	IfcManifoldSolidBrep	-
entity	IfcAdvancedBrepWithVoids	IfcAdvancedBrep	Voids
entity	IfcAdvancedFace	IfcFaceSurface	-
entity	IfcAirTerminal	IfcFlowTerminal	PredefinedType
entity	IfcAirTerminalBox	IfcFlowController	PredefinedType
entity	IfcAirTerminalBoxType	IfcFlowControllerType	PredefinedType
entity	IfcAirTerminalType	IfcFlowTerminalType	PredefinedType
entity	IfcAirToAirHeatRecovery	IfcEnergyConversionDevice	PredefinedType
entity	IfcAirToAirHeatRecoveryType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcAlarm	IfcDistributionControlElement	PredefinedType
entity	IfcAlarmType	IfcDistributionControlElementType	PredefinedType
entity	IfcAnnotation	IfcProduct	-
entity	IfcAnnotationFillArea	IfcGeometricRepresentationItem	OuterBoundary,InnerBoundaries
entity	IfcApplication	-	ApplicationDeveloper,Version,ApplicationFullName,ApplicationIdentifier
entity	IfcAppliedValue	-	Name,Description,AppliedValue,UnitBasis,ApplicableDate,FixedUntilDate,Category,Condition,ArithmeticOperator,Components
entity	IfcApproval	-	Identifier,Name,Description,TimeOfApproval,Status,Level,Qualifier,RequestingApproval,GivingApproval
entity	IfcApprovalRelationship	IfcResourceLevelRelationship	RelatingApproval,RelatedApprovals
entity	IfcArbitraryClosedProfileDef	IfcProfileDef	OuterCurve
entity	IfcArbitraryOpenProfileDef	IfcProfileDef	Curve
entity	IfcArbitraryProfileDefWithVoids	IfcArbitraryClosedProfileDef	InnerCurves
entity	IfcAsset	IfcGroup	Identification,OriginalValue,CurrentValue,TotalReplacementCost,Owner,User,ResponsiblePerson,IncorporationDate,DepreciatedValue
entity	IfcAsymmetricIShapeProfileDef	IfcParameterizedProfileDef	BottomFlangeWidth,OverallDepth,WebThickness,BottomFlangeThickness,BottomFlangeFilletRadius,TopFlangeWidth,TopFlangeThickness,TopFlangeFilletRadius,BottomFlangeEdgeRadius,BottomFlangeSlope,TopFlangeEdgeRadius,TopFlangeSlope
entity	IfcAudioVisualAppliance	IfcFlowTerminal	PredefinedType
entity	IfcAudioVisualApplianceType	IfcFlowTerminalType	PredefinedType
entity	IfcAxis1Placement	IfcPlacement	Axis
entity	IfcAxis2Placement2D	IfcPlacement	RefDirection
entity	IfcAxis2Placement3D	IfcPlacement	Axis,RefDirection
entity	IfcBSplineCurve	IfcBoundedCurve	Degree,ControlPointsList,CurveForm,ClosedCurve,SelfIntersect
entity	IfcBSplineCurveWithKnots	IfcBSplineCurve	KnotMultiplicities,Knots,KnotSpec
entity	IfcBSplineSurface	IfcBoundedSurface	UDegree,VDegree,ControlPointsList,SurfaceForm,UClosed,VClosed,SelfIntersect
entity	IfcBSplineSurfaceWithKnots	IfcBSplineSurface	UMultiplicities,VMultiplicities,UKnots,VKnots,KnotSpec
entity	IfcBeam	IfcBuildingElement	PredefinedType
entity	IfcBeamStandardCase	IfcBeam	-
entity	IfcBeamType	IfcBuildingElementType	PredefinedType
entity	IfcBlobTexture	IfcSurfaceTexture	RasterFormat,RasterCode
entity	IfcBlock	IfcCsgPrimitive3D	XLength,YLength,ZLength
entity	IfcBoiler	IfcEnergyConversionDevice	PredefinedType
entity	IfcBoilerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcBooleanClippingResult	IfcBooleanResult	-
entity	IfcBooleanResult	IfcGeometricRepresentationItem	Operator,FirstOperand,SecondOperand
entity	IfcBoundaryCondition	-	Name
entity	IfcBoundaryCurve	IfcCompositeCurveOnSurface	-
entity	IfcBoundaryEdgeCondition	IfcBoundaryCondition	TranslationalStiffnessByLengthX,TranslationalStiffnessByLengthY,TranslationalStiffnessByLengthZ,RotationalStiffnessByLengthX,RotationalStiffnessByLengthY,RotationalStiffnessByLengthZ
entity	IfcBoundaryFaceCondition	IfcBoundaryCondition	TranslationalStiffnessByAreaX,TranslationalStiffnessByAreaY,TranslationalStiffnessByAreaZ
entity	IfcBoundaryNodeCondition	IfcBoundaryCondition	TranslationalStiffnessX,TranslationalStiffnessY,TranslationalStiffnessZ,RotationalStiffnessX,RotationalStiffnessY,RotationalStiffnessZ
entity	IfcBoundaryNodeConditionWarping	IfcBoundaryNodeCondition	WarpingStiffness
entity	IfcBoundedCurve	IfcCurve	-
entity	IfcBoundedSurface	IfcSurface	-
entity	IfcBoundingBox	IfcGeometricRepresentationItem	Corner,XDim,YDim,ZDim
entity	IfcBoxedHalfSpace	IfcHalfSpaceSolid	Enclosure
entity	IfcBuilding	IfcSpatialStructureElement	ElevationOfRefHeight,ElevationOfTerrain,BuildingAddress
entity	IfcBuildingElement	IfcElement	-
entity	IfcBuildingElementPart	IfcElementComponent	PredefinedType
entity	IfcBuildingElementPartType	IfcElementComponentType	PredefinedType
entity	IfcBuildingElementProxy	IfcBuildingElement	PredefinedType
entity	IfcBuildingElementProxyType	IfcBuildingElementType	PredefinedType
entity	IfcBuildingElementType	IfcElementType	-
entity	IfcBuildingStorey	IfcSpatialStructureElement	Elevation
entity	IfcBuildingSystem	IfcSystem	PredefinedType,LongName
entity	IfcBurner	IfcEnergyConversionDevice	PredefinedType
entity	IfcBurnerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCShapeProfileDef	IfcParameterizedProfileDef	Depth,Width,WallThickness,Girth,InternalFilletRadius
