# openbim.ifc structural-catalog v1
schema	IFC4X3_ADD2	876	436
entity	IfcActionRequest	IfcControl,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,Identification,PredefinedType,Status,LongDescription
entity	IfcActor	IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,TheActor
entity	IfcActorRole	-	Role,UserDefinedRole,Description
entity	IfcActuator	IfcDistributionControlElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcActuatorType	IfcDistributionControlElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAddress	-	Purpose,Description,UserDefinedPurpose
entity	IfcAdvancedBrep	IfcManifoldSolidBrep,IfcSolidModel,IfcGeometricRepresentationItem,IfcRepresentationItem	Outer
entity	IfcAdvancedBrepWithVoids	IfcAdvancedBrep,IfcManifoldSolidBrep,IfcSolidModel,IfcGeometricRepresentationItem,IfcRepresentationItem	Outer,Voids
entity	IfcAdvancedFace	IfcFaceSurface,IfcFace,IfcTopologicalRepresentationItem,IfcRepresentationItem	Bounds,FaceSurface,SameSense
entity	IfcAirTerminal	IfcFlowTerminal,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcAirTerminalBox	IfcFlowController,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcAirTerminalBoxType	IfcFlowControllerType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAirTerminalType	IfcFlowTerminalType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAirToAirHeatRecovery	IfcEnergyConversionDevice,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcAirToAirHeatRecoveryType	IfcEnergyConversionDeviceType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAlarm	IfcDistributionControlElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcAlarmType	IfcDistributionControlElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAlignment	IfcLinearPositioningElement,IfcPositioningElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,PredefinedType
entity	IfcAlignmentCant	IfcLinearElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,RailHeadDistance
entity	IfcAlignmentCantSegment	IfcAlignmentParameterSegment	StartTag,EndTag,StartDistAlong,HorizontalLength,StartCantLeft,EndCantLeft,StartCantRight,EndCantRight,PredefinedType
entity	IfcAlignmentHorizontal	IfcLinearElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation
entity	IfcAlignmentHorizontalSegment	IfcAlignmentParameterSegment	StartTag,EndTag,StartPoint,StartDirection,StartRadiusOfCurvature,EndRadiusOfCurvature,SegmentLength,GravityCenterLineHeight,PredefinedType
entity	IfcAlignmentParameterSegment	-	StartTag,EndTag
entity	IfcAlignmentSegment	IfcLinearElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,DesignParameters
entity	IfcAlignmentVertical	IfcLinearElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation
entity	IfcAlignmentVerticalSegment	IfcAlignmentParameterSegment	StartTag,EndTag,StartDistAlong,HorizontalLength,StartHeight,StartGradient,EndGradient,RadiusOfCurvature,PredefinedType
entity	IfcAnnotation	IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,PredefinedType
