edition	source_digest	set_kind	set_name	set_guid	set_template_type	applicable_entity	predefined_type	includes_subtypes	member_path	member_guid	member_kind	value_type	unit_type	source_path	source_file_digest

IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	RequestComments		single	IfcText		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	RequestDescription		single	IfcText		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	RequestSourceLabel		single	IfcLabel		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	RequestSourceName		reference	IfcPerson		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	RequestSourceType		enumerated	PEnum_RequestSourceType		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActionRequest		unspecified	IfcActionRequest		true	Status		enumerated	PEnum_RequestStatus		psd/IfcFacilitiesMgmtDomain/Pset_ActionRequest.xml	b25599e804b392dfac0cc34b91731f1fb040f595f16211c00ce3e0ab0dc05025
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActorCommon		unspecified	IfcActor		true	Category		single	IfcLabel		psd/IfcKernel/Pset_ActorCommon.xml	36214af7a6660ec875682dd61125701fc6e921264d9ab41f21cefabdb5a93766
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActorCommon		unspecified	IfcActor		true	NumberOfActors		single	IfcCountMeasure		psd/IfcKernel/Pset_ActorCommon.xml	36214af7a6660ec875682dd61125701fc6e921264d9ab41f21cefabdb5a93766
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActorCommon		unspecified	IfcActor		true	SkillLevel		single	IfcLabel		psd/IfcKernel/Pset_ActorCommon.xml	36214af7a6660ec875682dd61125701fc6e921264d9ab41f21cefabdb5a93766
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeCommon		unspecified	IfcActuatorType		true	FailPosition		enumerated	PEnum_FailPosition		psd/IfcBuildingControlsDomain/Pset_ActuatorTypeCommon.xml	3f3fbf4704e52e7256a9d74340559da7b0d0b5d0245dacea7cfcf670854bde81
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeCommon		unspecified	IfcActuatorType		true	ManualOverride		single	IfcBoolean		psd/IfcBuildingControlsDomain/Pset_ActuatorTypeCommon.xml	3f3fbf4704e52e7256a9d74340559da7b0d0b5d0245dacea7cfcf670854bde81
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeElectricActuator		unspecified	IfcActuatorType.PredefinedType="ELECTRICACTUATOR"		true	ActuatorInputPower		single	IfcPowerMeasure	POWERUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypeElectricActuator.xml	402d2da16009a62f4d617ec70c7202e95fa56effe8d6b95c89ae6f0180ed2d07
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeElectricActuator		unspecified	IfcActuatorType.PredefinedType="ELECTRICACTUATOR"		true	ElectricActuatorType		enumerated	PEnum_ElectricActuatorType		psd/IfcBuildingControlsDomain/Pset_ActuatorTypeElectricActuator.xml	402d2da16009a62f4d617ec70c7202e95fa56effe8d6b95c89ae6f0180ed2d07
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeHydraulicActuator		unspecified	IfcActuatorType.PredefinedType="HYDRAULICACTUATOR"		true	InputFlowrate		single	IfcVolumetricFlowRateMeasure	VOLUMETRICFLOWRATEUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypeHydraulicActuator.xml	847a46f39dc88a6cb38ec6356509648f367b4fc9d02e21f60b9ef15e0d4a3738
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeHydraulicActuator		unspecified	IfcActuatorType.PredefinedType="HYDRAULICACTUATOR"		true	InputPressure		single	IfcPressureMeasure	PRESSUREUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypeHydraulicActuator.xml	847a46f39dc88a6cb38ec6356509648f367b4fc9d02e21f60b9ef15e0d4a3738
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeLinearActuation		unspecified	IfcActuatorType		true	Force		single	IfcForceMeasure	FORCEUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypeLinearActuation.xml	2aadd13df891a816617b37ca85525f7d84cc7140e1174ff7861862f35bebf828
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypeLinearActuation		unspecified	IfcActuatorType		true	Stroke		single	IfcLengthMeasure	LENGTHUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypeLinearActuation.xml	2aadd13df891a816617b37ca85525f7d84cc7140e1174ff7861862f35bebf828
IFC2X3_TC1	395dcd1e8c6f8e5feeece08e8b46e211a3c35a7fc13a7a237485ea48b3c93d53	psd	Pset_ActuatorTypePneumaticActuator		unspecified	IfcActuatorType.PredefinedType="PNEUMATICACTUATOR"		true	InputFlowrate		single	IfcVolumetricFlowRateMeasure	VOLUMETRICFLOWRATEUNIT	psd/IfcBuildingControlsDomain/Pset_ActuatorTypePneumaticActuator.xml	970cefaab2354c399f2cd868c6884da69172f5a6a3c2b579027fc4984f54e30c
