edition	source_digest	set_kind	set_name	set_guid	set_template_type	applicable_entity	predefined_type	includes_subtypes	member_path	member_guid	member_kind	value_type	unit_type	source_path	source_file_digest

IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestComments	f0b0c900d1bc11e1800000215ad4efdf	single	IfcText		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestSourceLabel	e098e980d1bc11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestSourceName	eabae800d1bc11e1800000215ad4efdf	reference	IfcPerson		psd/Pset_ActionRequest.xml	9ca742eda7becf56430605ea996ec2b11f1c18cea7412fba87e4458f662e15ff
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	Category	06be8980d1bd11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	NumberOfActors	00c8a880d1bd11e1800000215ad4efdf	single	IfcCountMeasure		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	SkillLevel	0c1bd400d1bd11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActorCommon.xml	221f3532e6ff74d8eb814d1544cd4749793db1f458e9424ea56be95fce9647bf
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Position	16d66900d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Quality	1b028680d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Status	1dfd7700d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	d03cb17eff77144069f143f7413c9d39637750ebe0e6a28e8c0d38cf59d06ca6
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Application	3469a24941934603a1c9c402d5623291	enumerated	PEnum_ActuatorApplication		psd/Pset_ActuatorTypeCommon.xml	bdeb4c4222365d1181e2c59f212356e7ee609573bd3593afe32ab4423286d85f
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	FailPosition	42595380d1bd11e1800000215ad4efdf	enumerated	PEnum_FailPosition		psd/Pset_ActuatorTypeCommon.xml	bdeb4c4222365d1181e2c59f212356e7ee609573bd3593afe32ab4423286d85f
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	ManualOverride	4dac7f00d1bd11e1800000215ad4efdf	single	IfcBoolean		psd/Pset_ActuatorTypeCommon.xml	bdeb4c4222365d1181e2c59f212356e7ee609573bd3593afe32ab4423286d85f
IFC4_ADD2_TC1	57227d4c82f9903bc59cb5bade18a49f2c5f2c9363d0293ccb68fed8765d36e3	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Reference	2a81cf80d1bd11e1800000215ad4efdf	single	IfcIdentifier		psd/Pset_ActuatorTypeCommon.xml	bdeb4c4222365d1181e2c59f212356e7ee609573bd3593afe32ab4423286d85f
