edition	source_digest	set_kind	set_name	set_guid	set_template_type	applicable_entity	predefined_type	includes_subtypes	member_path	member_guid	member_kind	value_type	unit_type	source_path	source_file_digest

IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestComments	f0b0c900d1bc11e1800000215ad4efdf	single	IfcText		psd/Pset_ActionRequest.xml	cc3acd7caa8f499feb6d56a6d9f306b0e84114df338b5c1f098652b95a0bfe2e
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestSourceLabel	e098e980d1bc11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActionRequest.xml	cc3acd7caa8f499feb6d56a6d9f306b0e84114df338b5c1f098652b95a0bfe2e
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActionRequest	d4ad2780d1bc11e1800000215ad4efdf	type-driven-override	IfcActionRequest		true	RequestSourceName	eabae800d1bc11e1800000215ad4efdf	reference	IfcPerson		psd/Pset_ActionRequest.xml	cc3acd7caa8f499feb6d56a6d9f306b0e84114df338b5c1f098652b95a0bfe2e
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	Category	06be8980d1bd11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActorCommon.xml	545bf4303cfd442c12f9c1f8044790f4e245ce31597bf225d95c0369a4e9a988
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	NumberOfActors	00c8a880d1bd11e1800000215ad4efdf	single	IfcCountMeasure		psd/Pset_ActorCommon.xml	545bf4303cfd442c12f9c1f8044790f4e245ce31597bf225d95c0369a4e9a988
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActorCommon	f7d7d700d1bc11e1800000215ad4efdf	type-driven-override	IfcActor		true	SkillLevel	0c1bd400d1bd11e1800000215ad4efdf	single	IfcLabel		psd/Pset_ActorCommon.xml	545bf4303cfd442c12f9c1f8044790f4e245ce31597bf225d95c0369a4e9a988
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Position	16d66900d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	a47d188ea830cda8bdc83282fe14305372ae8c0daf36c568b2f0978eb8611de7
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Quality	1b028680d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	a47d188ea830cda8bdc83282fe14305372ae8c0daf36c568b2f0978eb8611de7
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorPHistory	1211b500d1bd11e1800000215ad4efdf	performance-driven	IfcActuator		true	Status	1dfd7700d1bd11e1800000215ad4efdf	reference	IfcTimeSeries		psd/Pset_ActuatorPHistory.xml	a47d188ea830cda8bdc83282fe14305372ae8c0daf36c568b2f0978eb8611de7
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Application	3469a24941934603a1c9c402d5623291	enumerated	PEnum_ActuatorApplication		psd/Pset_ActuatorTypeCommon.xml	2214408fd9dbb4bc9b4f4fe166c46828107aa9dc73e1996b9c49e98c3071ab01
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	FailPosition	42595380d1bd11e1800000215ad4efdf	enumerated	PEnum_FailPosition		psd/Pset_ActuatorTypeCommon.xml	2214408fd9dbb4bc9b4f4fe166c46828107aa9dc73e1996b9c49e98c3071ab01
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	ManualOverride	4dac7f00d1bd11e1800000215ad4efdf	single	IfcBoolean		psd/Pset_ActuatorTypeCommon.xml	2214408fd9dbb4bc9b4f4fe166c46828107aa9dc73e1996b9c49e98c3071ab01
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Reference	2a81cf80d1bd11e1800000215ad4efdf	single	IfcIdentifier		psd/Pset_ActuatorTypeCommon.xml	2214408fd9dbb4bc9b4f4fe166c46828107aa9dc73e1996b9c49e98c3071ab01
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeCommon	235ac180d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Status	2f468380d1bd11e1800000215ad4efdf	enumerated	PEnum_ElementStatus		psd/Pset_ActuatorTypeCommon.xml	2214408fd9dbb4bc9b4f4fe166c46828107aa9dc73e1996b9c49e98c3071ab01
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeElectricActuator	543af680d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	ELECTRICACTUATOR	true	ActuatorInputPower	58ffaa80d1bd11e1800000215ad4efdf	single	IfcPowerMeasure		psd/Pset_ActuatorTypeElectricActuator.xml	bbd35f664500b8e58ba95b1c7fd5ce72e1d6b9d86d1024f0ad22d145096fb7f8
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeElectricActuator	543af680d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	ELECTRICACTUATOR	true	ElectricActuatorType	5ef58b80d1bd11e1800000215ad4efdf	enumerated	PEnum_ElectricActuatorType		psd/Pset_ActuatorTypeElectricActuator.xml	bbd35f664500b8e58ba95b1c7fd5ce72e1d6b9d86d1024f0ad22d145096fb7f8
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeHydraulicActuator	70d72e80d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	HYDRAULICACTUATOR	true	InputFlowrate	7af92d00d1bd11e1800000215ad4efdf	single	IfcVolumetricFlowRateMeasure		psd/Pset_ActuatorTypeHydraulicActuator.xml	2ffcbbc833b07a8c6714ad2a15361103ac487fb806cb4660e4db01a4794eb7dc
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeHydraulicActuator	70d72e80d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	HYDRAULICACTUATOR	true	InputPressure	759be280d1bd11e1800000215ad4efdf	single	IfcPressureMeasure		psd/Pset_ActuatorTypeHydraulicActuator.xml	2ffcbbc833b07a8c6714ad2a15361103ac487fb806cb4660e4db01a4794eb7dc
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeLinearActuation	82203b00d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Force	877d8580d1bd11e1800000215ad4efdf	single	IfcForceMeasure		psd/Pset_ActuatorTypeLinearActuation.xml	303cbe37ab49b4c6b4fa22119e62aa1f3c274add104f412a94b6213ce11190f7
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeLinearActuation	82203b00d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Stroke	8cdad000d1bd11e1800000215ad4efdf	single	IfcLengthMeasure		psd/Pset_ActuatorTypeLinearActuation.xml	303cbe37ab49b4c6b4fa22119e62aa1f3c274add104f412a94b6213ce11190f7
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypePneumaticActuator	95330b00d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	PNEUMATICACTUATOR	true	InputFlowrate	a24ffa00d1bd11e1800000215ad4efdf	single	IfcVolumetricFlowRateMeasure		psd/Pset_ActuatorTypePneumaticActuator.xml	d39decd3257d7780065e1a6edd1d59b4ff360915987fa548407fd266fc920bb9
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypePneumaticActuator	95330b00d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator	PNEUMATICACTUATOR	true	InputPressure	9c5a1900d1bd11e1800000215ad4efdf	single	IfcPressureMeasure		psd/Pset_ActuatorTypePneumaticActuator.xml	d39decd3257d7780065e1a6edd1d59b4ff360915987fa548407fd266fc920bb9
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeRotationalActuation	ac71f880d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	RangeAngle	b8f65100d1bd11e1800000215ad4efdf	single	IfcPlaneAngleMeasure		psd/Pset_ActuatorTypeRotationalActuation.xml	e78ced273649619a8e40b90cece91ea91e8a56ec30ca3493037a8034b89370a3
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_ActuatorTypeRotationalActuation	ac71f880d1bd11e1800000215ad4efdf	type-driven-override	IfcActuator		true	Torque	b1cf4300d1bd11e1800000215ad4efdf	single	IfcTorqueMeasure		psd/Pset_ActuatorTypeRotationalActuation.xml	e78ced273649619a8e40b90cece91ea91e8a56ec30ca3493037a8034b89370a3
IFC4X3_ADD2	b2f327638a844c8666d38dff90c5a48e12fdcec73da9efc4789e2dedd9239298	psd	Pset_AirSideSystemInformation	c14e8c00d1bd11e1800000215ad4efdf	type-driven-override	IfcSpace		true	AirSideSystemDistributionType	f3f88480d1bd11e1800000215ad4efdf	enumerated	PEnum_AirSideSystemDistributionType		psd/Pset_AirSideSystemInformation.xml	07a0b39b0574e76da615535c748d42bb408ffc0971177bd268a0c1435487a105
